Kernel	Cost	Gamma	Mean_Acc_Train	Std_Acc_Train	Mean_Acc_Test	Std_Acc_Test
Sigmoid	0.100000	1.000000	39.23	1.21	38.48	5.08
Sigmoid	0.100000	10.000000	39.23	1.21	38.48	5.08
Sigmoid	0.100000	100.000000	39.23	1.21	38.48	5.08
Sigmoid	0.100000	1000.000000	39.23	1.21	38.48	5.08
Sigmoid	1.000000	0.001000	32.26	1.96	32.42	6.92
Sigmoid	1.000000	0.010000	32.26	1.96	32.42	6.92
Sigmoid	1.000000	0.100000	32.26	1.96	32.42	6.92
Sigmoid	1.000000	1.000000	32.26	1.96	32.42	6.92
Sigmoid	1.000000	10.000000	32.26	1.96	32.42	6.92
Sigmoid	1.000000	100.000000	32.26	1.96	32.42	6.92
Sigmoid	1.000000	1000.000000	32.26	1.96	32.42	6.92
Sigmoid	10.000000	0.001000	32.26	1.96	32.42	6.92
Sigmoid	10.000000	0.010000	32.26	1.96	32.42	6.92
Sigmoid	10.000000	0.100000	32.26	1.96	32.42	6.92
Sigmoid	10.000000	1.000000	32.26	1.96	32.42	6.92
Sigmoid	10.000000	10.000000	32.26	1.96	32.42	6.92
Sigmoid	10.000000	100.000000	32.26	1.96	32.42	6.92
Sigmoid	10.000000	1000.000000	32.26	1.96	32.42	6.92
Sigmoid	100.000000	0.001000	32.26	1.96	32.42	6.92
Sigmoid	100.000000	0.010000	32.26	1.96	32.42	6.92
Sigmoid	100.000000	0.100000	32.26	1.96	32.42	6.92
Sigmoid	100.000000	1.000000	32.26	1.96	32.42	6.92
Sigmoid	100.000000	10.000000	32.26	1.96	32.42	6.92
Sigmoid	100.000000	100.000000	32.26	1.96	32.42	6.92
Sigmoid	100.000000	1000.000000	32.26	1.96	32.42	6.92
Sigmoid	1000.000000	0.001000	32.26	1.96	32.42	6.92
Sigmoid	1000.000000	0.010000	32.26	1.96	32.42	6.92
Sigmoid	1000.000000	0.100000	32.26	1.96	32.42	6.92
Sigmoid	1000.000000	1.000000	32.26	1.96	32.42	6.92
Sigmoid	1000.000000	10.000000	32.26	1.96	32.42	6.92
Sigmoid	1000.000000	100.000000	32.26	1.96	32.42	6.92
Sigmoid	1000.000000	1000.000000	32.26	1.96	32.42	6.92
