1 1:0.8090141247842473 2:0.641852487135506 3:0.644253859348199 4:1.0 5:0.1 6:0.1 7:0.00014404033129276198 8:0.022362261433201296 9:435.5 10:435.0 11:435.0 12:435.0 13:13568.0 14:248.85714285714286 15:248.62963193785052 16:14.260006500072224 17:0.9538331986574539 18:2571.3072605926614 19:-1832.303863692356 20:-4674.009803291536 21:1597.8645891861886 22:4023.1074026003002 23:-1676.2582043422774
1 1:0.19681052914117528 2:0.7182038182307072 3:0.6136058080129067 4:1.0 5:0.1 6:0.04812292970187707 7:0.1214574898785425 8:0.2798122929701877 9:214.5 10:214.0 11:214.0 12:214.0 13:7792.0 14:122.57142857142857 15:107.56507285340899 16:10.465574905996437 17:0.9603715047584102 18:1152.600097871506 19:-1164.0182445249823 20:-1220.3451169103437 21:-1313.8579889012617 22:-1537.0745420312885 23:-174.72379103252436
1 1:0.04537598698702091 2:0.6522320433781476 3:0.5452722275867191 4:1.0 5:0.1 6:0.06563256135499482 7:0.19892844797787765 8:0.34427929484963704 9:408.5 10:408.0 11:408.0 12:408.0 13:25206.0 14:233.42857142857142 15:209.1587620806311 16:17.722487951635806 17:0.9833310471806967 18:661.1296336037333 19:-188.87513340897303 20:1870.5529966134857 21:-1210.9093524493612 22:-348.09300346529784 23:-906.9880418088593
1 1:1.0 2:0.0931899641577061 3:0.1 4:0.1 5:0.1 6:0.1 7:0.1 8:1.0 9:155.5 10:155.0 11:155.0 12:155.0 13:662.0 14:88.85714285714286 15:87.109829806857 16:0.25007443859039163 17:0.9515562664347383 18:293.481715061455 19:-222.542732604911 20:-291.1972980817809 21:290.90091298961136 22:-464.1486343034218 23:-821.9357153060552
1 1:0.6647626727594471 2:0.011520047875523638 3:0.1 4:0.1 5:0.003395311236863379 6:0.17445432497978983 7:0.20274858528698464 8:0.8213419563459984 9:244.25 10:243.75 11:243.75 12:243.75 13:7106.0 14:139.57142857142858 15:133.7512159013967 16:1.3279908501715594 17:0.9553308758351364 18:4939.532813800064 19:-5979.645351428694 20:-8829.57430336856 21:2171.0342837243365 22:4668.376061469766 23:-684.444531803097
1 1:0.47415405331271976 2:0.09831237064161757 3:0.4558987422384971 4:1.0 5:0.1 6:0.1 7:0.0012893908917427407 8:0.058744649027799266 9:324.0 10:323.5 11:323.5 12:323.5 13:12036.0 14:185.14285714285714 15:160.46755664212588 16:14.112017147174685 17:0.9767386003173951 18:0.0 19:0.0 20:0.0 21:0.0 22:0.0 23:0.0
1 1:0.024359349118191563 2:1.0 3:0.8212605832549389 4:0.5343367826904986 5:0.1 6:0.1 7:0.002042740414833438 8:0.10543683218101822 9:293.5 10:293.0 11:293.0 12:293.0 13:4752.0 14:167.71428571428572 15:147.5017813797653 16:3.881299694498958 17:0.9702963482748811 18:597.7859662531589 19:-230.62440940032926 20:2163.616691397058 21:-1678.8492163964731 22:1312.958551949067 23:142.37281051832792
1 1:1.0 2:0.0010946907498631637 3:0.1 4:0.1 5:0.1 6:0.1 7:0.1 8:0.42112211221122114 9:267.5 10:267.0 11:267.0 12:267.0 13:1834.0 14:152.85714285714286 15:134.30714114768918 16:0.5644125667407595 17:0.9245222516470897 18:944.7437421934908 19:-415.14514293463424 20:1589.1546916346915 21:-1964.9818767070424 22:-2455.8540255577336 23:-1158.6339928002296
1 1:0.8057106889448387 2:0.002677376171352075 3:0.1 4:0.1 5:0.1 6:0.1 7:0.1 8:0.2798816568047337 9:275.0 10:274.5 11:274.5 12:274.5 13:1665.0 14:157.14285714285714 15:140.18602800914073 16:0.5459876965140122 17:0.9222811904078828 18:1060.6085407643907 19:-478.7149190105169 20:2413.8511976443133 21:-2620.302228585394 22:-1605.7523048981575 23:142.00820551251905
1 1:0.9758788906501518 2:0.011748445058742226 3:0.1 4:0.1 5:0.1261682242990654 6:0.24143302180685358 7:0.24610591900311526 8:1.0 9:193.5 10:193.0 11:193.0 12:193.0 13:1526.0 14:110.57142857142857 15:102.13696286689492 16:0.9873195238598133 17:0.8990414173022073 18:1353.771945939662 19:-1240.153570902439 20:-928.6856383967628 21:-1940.0815083748403 22:-2499.411156370281 23:-847.3683397302159
1 1:1.0 2:0.02433862433862434 3:0.009523809523809525 4:0.0005291005291005291 5:0.1 6:0.02803030303030303 7:0.20984848484848484 8:0.7484848484848485 9:149.75 10:149.25 11:149.25 12:149.25 13:1414.0 14:85.57142857142857 15:77.33758491714315 16:1.0297502881290819 17:0.8985771653302834 18:992.8085350072432 19:-1093.0715022954848 20:-1853.6911518839213 21:176.2251181121967 22:970.0446132089091 23:795.435872222282
1 1:0.7531354639297815 2:0.6119815668202765 3:0.23640552995391706 4:0.3797235023041475 5:0.1 6:0.1 7:0.1 8:0.1 9:253.5 10:253.0 11:253.0 12:253.0 13:4189.0 14:144.85714285714286 15:126.18628923871537 16:3.9491171770796187 17:0.9416700503995977 18:1030.6874114631144 19:-487.7428663241425 20:1049.512436579131 21:-1952.4946220231946 22:-3274.5430704542578 23:-2390.8216434551787
1 1:0.8664709615994922 2:0.0037728153359845007 3:0.1 4:0.1 5:0.1 6:0.04664754011263415 7:0.25842099670598234 8:0.6333014557432791 9:221.5 10:221.0 11:221.0 12:221.0 13:5347.0 14:126.57142857142857 15:109.78141547490391 16:2.867312077206857 17:0.9117744303469665 18:4855.817313733727 19:-3928.9206021838672 20:-4358.5773344301415 21:-242.83440440264513 22:757.3925626619523 23:1206.8992670670139
1 1:1.0 2:0.5353548062405636 3:0.3939859084046301 4:0.48575742325113236 5:0.012286689419795221 6:0.46737201365187714 7:0.32627986348122867 8:0.21112627986348123 9:406.5 10:406.0 11:406.0 12:406.0 13:81461.0 14:232.28571428571428 15:202.27612971643794 16:25.58122866894198 17:0.9904290720026131 18:14890.218165791544 19:13221.18472117878 20:-8157.784959745576 21:-1797.253257281937 22:6101.340544235629 23:-550.494458816624
1 1:1.0 2:0.9219653179190751 3:0.3670520231213873 4:0.24566473988439305 5:0.1 6:0.1 7:0.1 8:0.014586709886547812 9:170.0 10:169.5 11:169.5 12:169.5 13:699.0 14:97.14285714285714 15:90.3270700943894 16:3.7568490973811333 17:0.9096773666270399 18:78.94085177358009 19:-47.72572358716533 20:168.68445138220264 21:-261.02252160291897 22:-185.42621392174104 23:23.519123900758828
1 1:1.0 2:0.007125890736342043 3:0.1 4:0.1 5:0.1 6:0.02 7:0.0525 8:0.475 9:167.0 10:166.5 11:166.5 12:166.5 13:565.0 14:95.42857142857143 15:103.99156166708521 16:0.745965478799062 17:0.898177501629485 18:217.40565226352905 19:-232.41674229292653 20:-449.4972935403895 21:114.232505234563 22:365.97681276419354 23:-308.69779503185356
