2 1:1.0 2:0.02749043502904917 3:0.34167650531286897 4:1.0 5:0.6306493506493507 6:0.6309799291617474 7:0.475505553973227 8:0.08345200797493592 9:0.04557106237539162 10:41816.0 11:63.47563828705117 12:11173.631934709605 13:-4610.112948988652 14:5259.225924596078 15:-616.8831438353739 16:-418.80354349458946
2 1:0.5777310924369747 2:0.11723975304407477 3:0.1 4:0.1 5:0.028277634961439587 6:0.8163122224818883 7:0.8031043091284055 8:0.17475306631933138 9:0.12905676761098447 10:9247.0 11:20.75507456064201 12:13.050705333535419 13:19.498836397564403 14:21.929147464757186 15:-34.03503104181444 16:17.067640849748702
2 1:1.0 2:0.22449533432144125 3:0.1 4:0.35662148070907196 5:1.0 6:0.043795620437956206 7:0.1 8:0.1 9:0.1 10:914.0 11:0.9081508515815084 12:317.9915762976069 13:246.01265261373035 14:602.9988828931976 15:-791.0923714350267 16:1006.0753287803983
2 1:0.9821011860370005 2:0.1622922029494551 3:0.1 4:0.06897810218978102 5:0.5074817518248175 6:1.0 7:1.0 8:0.24593653250773995 9:0.26528637770897834 10:9917.0 11:13.229730318822199 12:677.3634377991066 13:-687.0795815729258 14:-561.0738701025557 15:-1091.6372405620004 16:-834.1739854548871
2 1:0.6405393649412788 2:0.1464767290126142 3:0.0002161227577263886 4:0.012318997190404149 5:0.15387940350118867 6:0.8208342338448239 7:1.0 8:0.22034477706695316 9:0.1576891146163989 10:9893.0 11:26.941144144639228 12:126.05071492878112 13:-206.22053859597582 14:-70.76127287757963 15:-248.35722800054862 16:-43.78973452573135
2 1:0.8160184845278455 2:0.44036796303094433 3:0.05933778827312466 4:1.0 5:0.46945184143094004 6:0.3975028890117068 7:0.900205145738952 8:0.3795196170612873 9:0.5524831182152321 10:69893.0 11:39.8741916109658 12:16102.023902493236 13:-486.05522855772176 14:-3533.893362771917 15:5159.960923431609 16:1900.5255426096237
2 1:0.7829772727272727 2:0.11306818181818182 3:0.1 4:0.02402460119162022 5:0.32577359215837015 6:0.9213915049010186 7:0.8563022157646204 8:0.1543770432255721 9:0.07693425354159099 10:12817.0 11:19.06844232729105 12:350.45918468835356 13:283.55875933988875 14:1035.9723402971706 15:415.53145894495555 16:-1055.2521517561788
2 1:0.5535183048995204 2:0.14275595491065105 3:1.0 4:0.5539274221295716 5:0.4722216600214536 6:0.5749357404521444 7:1.0 8:0.17077677945580833 9:0.07761422290193079 10:72682.0 11:28.551541867481685 12:27123.82202149317 13:-1794.1695319242817 14:12076.032112635441 15:5988.755308952849 16:466.4865023116364
2 1:0.25181126331811265 2:0.08976154236428209 3:0.0012301333464547557 4:0.1393987108202529 5:0.47606160507799045 6:1.0 7:0.8391926508258988 8:0.17736949032770957 9:0.09822453846833319 10:44440.0 11:41.03558120402632 12:2876.5664414429166 13:-1439.2782390826762 14:7899.973856178077 15:1870.02515279925 16:4197.671317925601
2 1:1.0 2:0.04050670939315041 3:0.0018871773946750995 4:0.0660002040191778 5:0.21034377231459758 6:1.0 7:0.7165876777251184 8:0.10677446333983831 9:0.059994424310008364 10:36967.0 11:40.69991638441591 12:1205.4395389780154 13:-1096.9581563479203 14:2966.950662124273 15:1910.0807188738966 16:-2953.4757281105735
2 1:1.0 2:0.3922637890796497 3:0.1 4:0.02553281843034212 5:0.20450141996443452 6:1.0 7:0.8469130679628916 8:0.3175701710187024 9:0.2896499599869587 10:61178.0 11:27.53123221922435 12:1630.064927147192 13:792.3863652415987 14:-1691.5529374082414 15:-1194.4145623287409 16:93.08351350001634
2 1:0.516894439208294 2:0.30461828463713475 3:0.015291910636120743 4:0.5872605309533284 5:1.0 6:0.9108919333750213 7:1.0 8:0.3727974492364491 9:0.5884796106729318 10:85920.0 11:47.29409388256134 12:14150.784300186599 13:-1336.7817460424922 14:11457.099244850346 15:-586.3410154101857 16:-3779.4559800035904
2 1:0.7758356272119544 2:0.09429807314195832 3:0.1 4:0.02888215368158317 5:0.2583348190408272 6:0.4838652166161526 7:0.5857874519846351 8:0.036064874093043105 9:0.004694835680751174 10:9281.0 11:18.53124163543897 12:298.89298312657945 13:-671.5793172203993 14:-210.16124459428784 15:-695.0387506795379 16:-195.6151316913938
2 1:0.6669671681793263 2:0.4496558445513797 3:0.1 4:0.1 5:0.03847745138601572 6:0.3934629706247414 7:1.0 8:0.35545023696682465 9:0.23354397051079515 10:3872.0 11:6.408928852422165 12:11.777465788800255 13:-11.347379096935816 14:-5.684989391817725 15:-33.52910894849591 16:-8.050334689535006
2 1:1.0 2:0.0107568506006006 3:1.0 4:0.7355635139372535 5:0.38988001914412557 6:0.040433713465251764 7:0.2934172741329799 8:0.010227523746410427 9:0.0018997128341064723 10:49871.0 11:6.667402586451409 12:39137.4737458418 13:4220.663693552484 14:29575.33082103899 15:-10849.680809751044 16:1496.4069761613944
2 1:0.27845982142857145 2:0.2674722906403941 3:0.1 4:0.0010102210601378656 5:0.11587829807463751 6:0.621107677680057 7:1.0 8:0.2690909090909091 9:0.22542980828695114 10:33505.0 11:32.08275085430258 12:275.0197416627952 13:-83.85955121973608 14:540.2851818867908 15:86.2888195763287 16:-556.46237839229
2 1:0.779969490232637 2:0.11689054620958515 3:0.006677717262609519 4:0.15704475491356856 5:0.4565948377930381 6:1.0 7:0.8687243473978 8:0.15215892300114925 9:0.1149893285174848 10:48771.0 11:48.27615083068881 12:3038.267863624282 13:285.24207079671254 14:2696.3302213811016 15:-2560.2078045798553 16:-477.83084290653215
2 1:0.11677901257059574 2:0.10520213981682373 3:0.1 4:0.009203260583749671 5:0.0925585064422824 6:1.0 7:1.0 8:0.19712215737572952 9:0.10897564902394848 10:29853.0 11:31.58976039192284 12:215.4957929464263 13:-219.93177891069666 14:313.4959321277763 15:-508.188912502853 16:428.9761997247325
2 1:0.3772164197230993 2:0.1945996275605214 3:0.1 4:0.01380721043211455 5:0.19304525696752747 6:0.6118639734083354 7:1.0 8:0.2230565371024735 9:0.2280035335689046 10:16418.0 11:64.14291695541696 12:292.52678540290367 13:-495.955924366333 14:451.7927709072377 15:-403.8410523287851 16:-99.33148777099971
