Kernel	Cost	Gamma	Mean_Acc_Train	Std_Acc_Train	Mean_Acc_Test	Std_Acc_Test
Sigmoid	0.010000	1.000000	50.71	0.46	48.48	5.07
Sigmoid	0.010000	10.000000	50.71	0.46	48.48	5.07
Sigmoid	0.010000	100.000000	50.71	0.46	48.48	5.07
Sigmoid	0.010000	1000.000000	50.71	0.46	48.48	5.07
Sigmoid	0.100000	0.001000	32.53	1.22	32.42	6.92
Sigmoid	0.100000	0.010000	32.69	1.27	32.73	7.15
Sigmoid	0.100000	0.100000	32.69	1.27	32.73	7.15
Sigmoid	0.100000	1.000000	32.69	1.27	32.73	7.15
Sigmoid	0.100000	10.000000	32.69	1.27	32.73	7.15
Sigmoid	0.100000	100.000000	32.69	1.27	32.73	7.15
Sigmoid	0.100000	1000.000000	32.69	1.27	32.73	7.15
Sigmoid	1.000000	0.001000	29.02	1.19	30.00	8.93
Sigmoid	1.000000	0.010000	29.02	1.19	30.00	8.93
Sigmoid	1.000000	0.100000	29.02	1.19	30.00	8.93
Sigmoid	1.000000	1.000000	29.02	1.19	30.00	8.93
Sigmoid	1.000000	10.000000	29.02	1.19	30.00	8.93
Sigmoid	1.000000	100.000000	29.02	1.19	30.00	8.93
Sigmoid	1.000000	1000.000000	29.02	1.19	30.00	8.93
Sigmoid	10.000000	0.001000	29.02	1.19	30.00	8.93
Sigmoid	10.000000	0.010000	29.02	1.19	30.00	8.93
Sigmoid	10.000000	0.100000	29.02	1.19	30.00	8.93
Sigmoid	10.000000	1.000000	29.02	1.19	30.00	8.93
Sigmoid	10.000000	10.000000	29.02	1.19	30.00	8.93
Sigmoid	10.000000	100.000000	29.02	1.19	30.00	8.93
Sigmoid	10.000000	1000.000000	29.02	1.19	30.00	8.93
Sigmoid	100.000000	0.001000	29.02	1.19	30.00	8.93
Sigmoid	100.000000	0.010000	29.02	1.19	30.00	8.93
Sigmoid	100.000000	0.100000	29.02	1.19	30.00	8.93
Sigmoid	100.000000	1.000000	29.02	1.19	30.00	8.93
Sigmoid	100.000000	10.000000	29.02	1.19	30.00	8.93
Sigmoid	100.000000	100.000000	29.02	1.19	30.00	8.93
Sigmoid	100.000000	1000.000000	29.02	1.19	30.00	8.93
Sigmoid	1000.000000	0.001000	29.02	1.19	30.00	8.93
Sigmoid	1000.000000	0.010000	29.02	1.19	30.00	8.93
Sigmoid	1000.000000	0.100000	29.02	1.19	30.00	8.93
Sigmoid	1000.000000	1.000000	29.02	1.19	30.00	8.93
Sigmoid	1000.000000	10.000000	29.02	1.19	30.00	8.93
Sigmoid	1000.000000	100.000000	29.02	1.19	30.00	8.93
Sigmoid	1000.000000	1000.000000	29.02	1.19	30.00	8.93
