1 1:0.2096297291848666 2:0.04014067154985104 3:0.0243263221557691 4:0.003875187599399682 5:0.011267163945075376 6:0.9815978456014363 7:1.0 8:0.42115499700777975 9:0.1 10:0.1 11:0.1 12:0.1 13:0.17445432497978983 14:0.20274858528698464 15:0.8213419563459984 16:0.6064672594987874 17:0.2648342764753436 18:0.031042845594179466 19:0.021503637833468068 20:0.00016168148746968473 21:0.1 22:244.25 23:75.75412530021055 24:243.75 25:75.75 26:243.75 27:75.75082507801483 28:243.75 29:75.75082507801483 30:7106.0 31:139.57142857142858 32:133.7512159013967 33:0.9553308758351364 34:0.9592214936501883 35:0.9803421420255859 36:-5979.645351428694 37:-3079.5072557664753 38:9114.897619074132 39:-8829.57430336856 40:2171.0342837243365 41:4522.211611116449 42:-684.444531803097 43:-2028.7841094127937
1 1:1.0 2:0.11323342393337157 3:0.1307383487519637 4:0.01565967633344139 5:0.0023190285016083585 6:0.1 7:0.1 8:0.0008756567425569177 9:0.4558987422384971 10:1.0 11:0.1 12:0.1 13:0.1 14:0.0012893908917427407 15:0.058744649027799266 16:0.19954613440610655 17:0.8516168961782454 18:0.028160297075661457 19:0.01114033730465728 20:0.0054670173809892204 21:0.0007736345350456444 22:324.0 23:8.514693182963201 24:323.5 25:8.5 26:323.5 27:8.5 28:323.5 29:8.5 30:12036.0 31:185.14285714285714 32:160.46755664212588 33:0.9767386003173951 34:0.954920279381559 35:0.9739188881080771 36:0.0 37:0.0 38:0.0 39:0.0 40:0.0 41:0.0 42:0.0 43:0.0
1 1:0.7134000779499172 2:0.182731657410114 3:0.134536685179772 4:0.022508038585209004 5:0.00623599337425704 6:0.05315145813734713 7:0.3579492003762935 8:0.6603951081843838 9:0.8212605832549389 10:0.5343367826904986 11:0.1 12:0.1 13:0.1 14:0.002042740414833438 15:0.10543683218101822 16:0.183218101822753 17:1.0 18:0.3194531741043369 19:0.2085166561910748 20:0.026398491514770583 21:0.017913262099308613 22:293.5 23:34.00367627183861 24:293.0 25:34.0 26:293.0 27:34.0 28:293.0 29:34.0 30:4752.0 31:167.71428571428572 32:147.5017813797653 33:0.9702963482748811 34:0.9813314206258545 35:0.9886105702454057 36:-230.62440940032926 37:-1618.7384873471538 38:853.1337329694398 39:2163.616691397058 40:-1678.8492163964731 41:2909.9469881321243 42:142.37281051832792 43:-2356.7637060739157
1 1:0.9076852896689155 2:0.20323641689275168 3:0.1917000792297904 4:0.05118724640464815 5:0.011020143573983818 6:0.29337712096332785 7:1.0 8:0.42309797482211275 9:0.1 10:0.1 11:0.1 12:0.1 13:0.1 14:0.1 15:0.42112211221122114 16:0.4792079207920792 17:0.6957095709570957 18:0.08514851485148515 19:0.052805280528052806 20:0.015841584158415842 21:0.1 22:267.5 23:30.004166377354995 24:267.0 25:30.0 26:267.0 27:30.0 28:267.0 29:30.0 30:1834.0 31:152.85714285714286 32:134.30714114768918 33:0.9245222516470897 34:0.9926672094628098 35:0.9955315942099813 36:-415.14514293463424 37:-2102.271066981705 38:1323.2343321226754 39:1589.1546916346915 40:-1964.9818767070424 41:-882.3198408624338 42:-1158.6339928002296 43:1880.5440794656256
1 1:1.0 2:0.27919432364385444 3:0.23428702220187686 4:0.058113984893568324 5:0.014122224765392538 6:1.0 7:0.7677376171352075 8:0.5803212851405622 9:0.1 10:0.1 11:0.1 12:0.1 13:0.1 14:0.1 15:0.2798816568047337 16:0.25976331360946747 17:1.0 18:0.2153846153846154 19:0.24497041420118343 20:0.07810650887573964 21:0.1 22:275.0 23:44.50280890011326 24:274.5 25:44.5 26:274.5 27:44.5 28:274.5 29:44.5 30:1665.0 31:157.14285714285714 32:140.18602800914073 33:0.9222811904078828 34:0.9919242982136243 35:0.9958828750758802 36:-478.7149190105169 37:-2525.1335645831055 38:1600.2978007194122 39:2413.8511976443133 40:-2620.302228585394 41:395.4744728392348 42:142.00820551251905 43:1236.4414438168144
1 1:0.12775709317899756 2:0.048475688428502965 3:0.055762401543357785 4:0.012005259212838378 5:0.0022486821248202896 6:1.0 7:0.29094678645473393 8:0.23911541119557705 9:0.1 10:0.1 11:0.1 12:0.1 13:0.24143302180685358 14:0.24610591900311526 15:1.0 16:0.8198338525441329 17:0.008826583592938734 18:0.1 19:0.1 20:0.1 21:0.1 22:193.5 23:47.00265949922408 24:193.0 25:47.0 26:193.0 27:47.0 28:193.0 29:47.0 30:1526.0 31:110.57142857142857 32:102.13696286689492 33:0.8990414173022073 34:0.9834359706467082 35:0.9935920791380666 36:-1240.153570902439 37:-1923.285168554116 38:2939.3023328787353 39:-928.6856383967628 40:-1940.0815083748403 41:-1870.4373231057602 42:-847.3683397302159 43:-1282.3297993117583
1 1:0.40801120909915106 2:0.10989862358856013 3:0.09624989697519162 4:0.026324899035687795 5:0.014934476221874228 6:1.0 7:0.3878306878306878 8:0.34973544973544973 9:0.009523809523809525 10:0.0005291005291005291 11:0.1 12:0.1 13:0.02803030303030303 14:0.20984848484848484 15:0.7484848484848485 16:0.7303030303030303 17:0.353030303030303 18:0.03257575757575758 19:0.0022727272727272726 20:0.1 21:0.1 22:149.75 23:29.260681810238122 24:149.25 25:29.25 26:149.25 27:29.252136674096132 28:149.25 29:29.252136674096132 30:1414.0 31:85.57142857142857 32:77.33758491714315 33:0.8985771653302834 34:0.9872845428075517 35:0.9938014160454128 36:-1093.0715022954848 37:-778.6195950209932 38:1912.4164517342863 39:-1853.6911518839213 40:176.2251181121967 41:1839.853075475599 42:795.435872222282 43:-2184.652026909139
1 1:1.0 2:0.3616135998890452 3:0.4565096788254641 4:0.1293118820708922 5:0.04090467793386301 6:0.07050691244239632 7:1.0 8:0.5663594470046083 9:0.23640552995391706 10:0.3797235023041475 11:0.1 12:0.1 13:0.1 14:0.1 15:0.1 16:0.019058863214707372 17:1.0 18:0.36835891381345925 19:0.38741777702816665 20:0.09698094113678529 21:0.03558778883454208 22:253.5 23:18.006943105369107 24:253.0 25:18.0 26:253.0 27:18.0 28:253.0 29:18.0 30:4189.0 31:144.85714285714286 32:126.18628923871537 33:0.9416700503995977 34:0.9861228359504983 35:0.9910079674529695 36:-487.7428663241425 37:-2096.7050970790383 38:1474.46758465576 39:1049.512436579131 40:-1952.4946220231946 41:-1740.5205251253442 42:-2390.8216434551787 43:2154.049524897018
1 1:1.0 2:0.2648894530836771 3:0.2462181318100074 4:0.06791494763567121 5:0.03295250185126415 6:1.0 7:0.38401142041399 8:0.22698072805139186 9:0.1 10:0.1 11:0.1 12:0.1 13:0.04664754011263415 14:0.25842099670598234 15:0.6333014557432791 16:0.5369248751461057 17:1.0 18:0.1602380193390713 19:0.08957602805227925 20:0.01827648496440336 21:0.0031877590054191903 22:221.5 23:8.0156097709407 24:221.0 25:8.0 26:221.0 27:8.0 28:221.0 29:8.0 30:5347.0 31:126.57142857142857 32:109.78141547490391 33:0.9117744303469665 34:0.940698419398909 35:0.9778091084502644 36:-3928.9206021838672 37:-2317.6216664566628 38:4893.779240902868 39:-4358.5773344301415 40:-242.83440440264513 41:542.1884361580181 42:1206.8992670670139 43:-605.1601298556698
1 1:0.5440815064368602 2:0.17547971290464331 3:0.17834415637257295 4:0.036782058167732695 5:0.014680272773139333 6:0.053548062405636636 7:1.0 8:0.4111726220432813 9:0.3939859084046301 10:0.48575742325113236 11:0.10173628585807751 12:0.00291897332662305 13:0.46737201365187714 14:0.32627986348122867 15:0.21112627986348123 16:0.18075085324232082 17:1.0 18:0.28730375426621163 19:0.30361774744027303 20:0.05556313993174061 21:0.01098976109215017 22:406.5 23:28.00446392988089 24:406.0 25:28.0 26:406.0 27:28.0 28:406.0 29:28.0 30:81461.0 31:232.28571428571428 32:202.27612971643794 33:0.9904290720026131 34:0.504687992925812 35:0.70108745801661 36:13221.18472117878 37:296.02787157337576 38:-11309.260146507346 39:-8157.784959745576 40:-1797.253257281937 41:-7095.691402242412 42:-550.494458816624 43:2665.898932732899
