1 1:0.7531354639297815 2:0.433149729547661 3:1.0 4:0.4565096788254641 5:0.1293118820708922 6:0.04090467793386301 7:0.07050691244239632 8:0.6119815668202765 9:0.23640552995391706 10:0.3797235023041475 11:0.1 12:0.1 13:0.1 14:0.1 15:0.1 16:0.1 17:0.1 18:0.1 19:1.0 20:0.36835891381345925 21:0.38741777702816665 22:0.09698094113678529 23:0.03558778883454208 24:0.00016866250632484398 25:253.5 26:253.0 27:253.0 28:253.0 29:4189.0 30:144.85714285714286 31:126.18628923871537 32:3.9491171770796187 33:0.9416700503995977 34:0.9861228359504983 35:0.9910079674529695 36:1030.6874114631144 37:-487.7428663241425 38:-2096.7050970790383 39:1474.46758465576 40:1049.512436579131 41:-1952.4946220231946 42:1384.760004363708 43:-3274.5430704542578 44:654.9960365872148 45:-2390.8216434551787
1 1:0.8664709615994922 2:0.8603353432772665 3:1.0 4:0.2462181318100074 5:0.06791494763567121 6:0.03295250185126415 7:1.0 8:0.0037728153359845007 9:0.1 10:0.1 11:0.1 12:0.1 13:0.1 14:0.1 15:0.1 16:0.04664754011263415 17:0.25842099670598234 18:0.6333014557432791 19:1.0 20:0.1602380193390713 21:0.08957602805227925 22:0.01827648496440336 23:0.0031877590054191903 24:0.0007438104345978111 25:221.5 26:221.0 27:221.0 28:221.0 29:5347.0 30:126.57142857142857 31:109.78141547490391 32:2.867312077206857 33:0.9117744303469665 34:0.940698419398909 35:0.9778091084502644 36:4855.817313733727 37:-3928.9206021838672 38:-2317.6216664566628 39:4893.779240902868 40:-4358.5773344301415 41:-242.83440440264513 42:1338.3058674135025 43:757.3925626619523 44:-458.1887137036348 45:1206.8992670670139
1 1:1.0 2:0.4130332177790798 3:0.5440815064368602 4:0.17834415637257295 5:0.036782058167732695 6:0.014680272773139333 7:0.053548062405636636 8:0.5353548062405636 9:0.3939859084046301 10:0.48575742325113236 11:0.10173628585807751 12:0.009335681932561651 13:0.00291897332662305 14:0.1 15:0.012286689419795221 16:0.46737201365187714 17:0.32627986348122867 18:0.21112627986348123 19:1.0 20:0.28730375426621163 21:0.30361774744027303 22:0.05556313993174061 23:0.01098976109215017 24:0.1 25:406.5 26:406.0 27:406.0 28:406.0 29:81461.0 30:232.28571428571428 31:202.27612971643794 32:25.58122866894198 33:0.9904290720026131 34:0.504687992925812 35:0.70108745801661 36:14890.218165791544 37:13221.18472117878 38:296.02787157337576 39:-11309.260146507346 40:-8157.784959745576 41:-1797.253257281937 42:3171.2228856743213 43:6101.340544235629 44:-1564.8474854084552 45:-550.494458816624
1 1:1.0 2:0.5075019554860272 3:0.6976818602005262 4:0.25207992604707385 5:0.07494844627746569 6:0.04234516106094006 7:0.1 8:0.9219653179190751 9:0.3670520231213873 10:0.24566473988439305 11:0.1 12:0.1 13:0.1 14:0.1 15:0.1 16:0.1 17:0.1 18:0.014586709886547812 19:1.0 20:0.3500810372771475 21:0.2560777957860616 22:0.022690437601296597 23:0.0032414910858995136 24:0.1 25:170.0 26:169.5 27:169.5 28:169.5 29:699.0 30:97.14285714285714 31:90.3270700943894 32:3.7568490973811333 33:0.9096773666270399 34:0.9925630055790979 35:0.9944931530476955 36:78.94085177358009 37:-47.72572358716533 38:-186.06557315593685 39:159.976769381543 40:168.68445138220264 41:-261.02252160291897 42:-21.86951826622253 43:-185.42621392174104 44:56.41771923380312 45:23.519123900758828
1 1:1.0 2:0.5592769803296119 3:0.6533758639021797 4:0.1964380648591175 5:0.05563150299992405 6:0.061973114604693555 7:0.171021377672209 8:0.007125890736342043 9:0.1 10:0.1 11:0.1 12:0.1 13:0.1 14:0.1 15:0.1 16:0.02 17:0.0525 18:0.475 19:0.84 20:0.2525 21:0.1425 22:0.01 23:0.1 24:0.1 25:167.0 26:166.5 27:166.5 28:166.5 29:565.0 30:95.42857142857143 31:103.99156166708521 32:0.745965478799062 33:0.898177501629485 34:0.9940722526205036 35:0.9955877428795458 36:217.40565226352905 37:-232.41674229292653 38:-132.33743542967838 39:370.28596298173403 40:-449.4972935403895 41:114.232505234563 42:392.4778686901895 43:365.97681276419354 44:-36.20336039056692 45:-308.69779503185356
1 1:1.0 2:0.5816141396421834 3:0.9940884568709674 4:0.2678337558724933 5:0.09713194035589412 6:0.02690232736972377 7:0.030921459492888066 8:0.8302411873840445 9:1.0 10:0.9966759431045146 11:0.008000927643784787 12:0.00046382189239332097 13:0.0003478664192949907 14:0.1 15:0.5431530327678364 16:0.9511677899140135 17:0.3309609574715315 18:0.11329305135951662 19:1.0 20:0.24930281199163373 21:0.2623896118986753 22:0.09942191494306298 23:0.028192540088310482 24:0.1 25:350.0 26:349.5 27:349.5 28:349.5 29:56898.0 30:200.0 31:179.5335225362821 32:46.70793925285445 33:0.9720754927121937 34:0.8158785892152849 35:0.8771593465336182 36:1168.5155921806956 37:-731.4039244555463 38:-1287.7258922713802 39:1592.3021174137377 40:-520.2278052264114 41:-556.6401121393508 42:1398.6298724340663 43:-259.72792369914765 44:1245.2244170340493 45:-449.2705669705341
1 1:0.34591053715141307 2:0.671018154594797 3:1.0 4:0.2635036496350365 5:0.07042859816582445 6:0.028139621935242373 7:1.0 8:0.020682245500940104 9:0.00201450443190975 10:0.1 11:0.1 12:0.1 13:0.1 14:0.1 15:0.1 16:0.0035775968418455466 17:0.03663952627683198 18:0.47952134221564274 19:1.0 20:0.24438687392055267 21:0.28028620774734764 22:0.029607698001480384 23:0.008758943992104614 24:0.0016037503084135208 25:272.5 26:272.0 27:272.0 28:272.0 29:5695.0 30:155.71428571428572 31:134.98858606321846 32:1.2771239923373883 33:0.9343852139835944 34:0.9735049823191901 35:0.9880598988557134 36:4114.473588811678 37:-1390.4020129549301 38:-6996.786050110401 39:3663.0674932353213 40:767.1806372178964 41:-3653.3742441376744 42:7102.703119119029 43:-8347.903431859726 44:4683.420139972572 45:-5311.846597674346
1 1:0.6802193554621443 2:0.6099676281586703 3:1.0 4:0.3287432961298739 5:0.15208725902304682 6:0.079625066434749 7:0.1 8:1.0 9:0.7654427645788336 10:0.6710583153347732 11:0.1 12:0.1 13:0.1 14:0.1 15:0.08868841082581541 16:0.41401804302567663 17:0.2272033310201249 18:0.12477446217904233 19:1.0 20:0.3759888965995836 21:0.5475364330326162 22:0.33074253990284525 23:0.13934767522553781 24:0.1 25:168.0 26:167.5 27:167.5 28:167.5 29:7748.0 30:96.0 31:134.8787815569436 32:7.286820443762707 33:0.9712075052298766 34:0.9715767985122938 35:0.9832649497831338 36:211.03945453985324 37:-53.21517803401486 38:-93.07124891589645 39:87.86942744050761 40:-307.4219201407479 41:8.93498556207211 42:328.77559586290425 43:82.55929414601458 44:283.005086321252 45:371.44354810413085
1 1:0.5509918595048287 2:0.3090185899920786 3:0.463334063674515 4:0.24324574857162118 5:0.058483474626261946 6:0.03318557969426795 7:0.03910614525139665 8:0.7672253258845437 9:1.0 10:0.4245810055865922 11:0.1 12:0.1 13:0.1 14:0.1 15:0.1 16:0.1 17:0.1 18:0.1 19:0.5418875927889714 20:0.4740190880169671 21:1.0 22:0.5376458112407211 23:0.08059384941675504 24:0.1 25:283.5 26:283.0 27:283.0 28:283.0 29:1254.0 30:162.0 31:189.23832290829165 32:1.5975511982570807 33:0.9391801014109353 34:0.99618519900993 35:0.9973125560008631 36:144.83099821362475 37:-148.12961946235444 38:-185.6016059213047 39:337.8606997236639 40:-163.29483481454741 41:-170.63735735337457 42:450.328812391845 43:-212.53408079857792 44:-151.70785434329497 45:37.15995529090294
1 1:0.5253158382517926 2:0.8942490610214135 3:0.8117408906882592 4:0.18355202185259256 5:0.038851763328618116 6:0.019486854299790253 7:1.0 8:0.020306020306020307 9:0.1 10:0.1 11:0.1 12:0.1 13:0.1 14:0.1 15:0.00227408737283064 16:0.071573907839617 17:0.29539198084979057 18:0.9982046678635548 19:0.7995212447636146 20:0.3102333931777379 21:0.3223219628964692 22:0.057690005984440455 23:0.017833632555356076 24:0.1 25:355.25 26:354.75 27:354.75 28:354.75 29:6894.0 30:203.0 31:235.22997865311058 32:3.419898409222253 33:0.9358442008833497 34:0.9410437340112687 35:0.9726280099526009 36:3876.0594840600193 37:-3666.0939005952628 38:-1381.425460460262 39:4853.754061914782 40:-4192.012361079907 41:-765.8578003517597 42:6650.709002492953 43:1268.5101503077578 44:-1263.1786496141651 45:-1859.6338247212695
