1 1:0.19235192182341376 2:0.02946990212028553 3:0.02479054165054769 4:0.0040328350141228715 5:0.0011499674087577703 6:0.1 7:0.45878136200716846 8:1.0 9:0.1 10:0.1 11:0.4656652360515021 12:0.08583690987124463 13:0.023605150214592276 14:0.1 15:0.1 16:0.9976108516624859 17:0.9987181336327591 18:-71.79071242655462 19:-291.1972980817809 20:-353.4071190391892
1 1:0.2096297291848666 2:0.04014067154985104 3:0.0243263221557691 4:0.003875187599399682 5:0.011267163945075376 6:0.9815978456014363 7:1.0 8:0.42115499700777975 9:0.1 10:0.1 11:0.2648342764753436 12:0.031042845594179466 13:0.021503637833468068 14:0.00016168148746968473 15:0.1 16:0.9592214936501883 17:0.9803421420255859 18:9114.897619074132 19:-8829.57430336856 20:-2028.7841094127937
1 1:1.0 2:0.11323342393337157 3:0.1307383487519637 4:0.01565967633344139 5:0.0023190285016083585 6:0.1 7:0.1 8:0.0008756567425569177 9:0.1 10:0.1 11:0.8516168961782454 12:0.028160297075661457 13:0.01114033730465728 14:0.0054670173809892204 15:0.0007736345350456444 16:0.954920279381559 17:0.9739188881080771 18:0.0 19:0.0 20:0.0
1 1:0.7134000779499172 2:0.182731657410114 3:0.134536685179772 4:0.022508038585209004 5:0.00623599337425704 6:0.05315145813734713 7:0.3579492003762935 8:0.6603951081843838 9:0.1 10:0.1 11:1.0 12:0.3194531741043369 13:0.2085166561910748 14:0.026398491514770583 15:0.017913262099308613 16:0.9813314206258545 17:0.9886105702454057 18:853.1337329694398 19:2163.616691397058 20:-2356.7637060739157
1 1:0.9076852896689155 2:0.20323641689275168 3:0.1917000792297904 4:0.05118724640464815 5:0.011020143573983818 6:0.29337712096332785 7:1.0 8:0.42309797482211275 9:0.1 10:0.1 11:0.6957095709570957 12:0.08514851485148515 13:0.052805280528052806 14:0.015841584158415842 15:0.1 16:0.9926672094628098 17:0.9955315942099813 18:1323.2343321226754 19:1589.1546916346915 20:1880.5440794656256
1 1:1.0 2:0.27919432364385444 3:0.23428702220187686 4:0.058113984893568324 5:0.014122224765392538 6:1.0 7:0.7677376171352075 8:0.5803212851405622 9:0.1 10:0.1 11:1.0 12:0.2153846153846154 13:0.24497041420118343 14:0.07810650887573964 15:0.1 16:0.9919242982136243 17:0.9958828750758802 18:1600.2978007194122 19:2413.8511976443133 20:1236.4414438168144
1 1:0.12775709317899756 2:0.048475688428502965 3:0.055762401543357785 4:0.012005259212838378 5:0.0022486821248202896 6:1.0 7:0.29094678645473393 8:0.23911541119557705 9:0.1 10:0.1 11:0.008826583592938734 12:0.1 13:0.1 14:0.1 15:0.1 16:0.9834359706467082 17:0.9935920791380666 18:2939.3023328787353 19:-928.6856383967628 20:-1282.3297993117583
1 1:0.40801120909915106 2:0.10989862358856013 3:0.09624989697519162 4:0.026324899035687795 5:0.014934476221874228 6:1.0 7:0.3878306878306878 8:0.34973544973544973 9:0.1 10:0.1 11:0.353030303030303 12:0.03257575757575758 13:0.0022727272727272726 14:0.1 15:0.1 16:0.9872845428075517 17:0.9938014160454128 18:1912.4164517342863 19:-1853.6911518839213 20:-2184.652026909139
1 1:1.0 2:0.3616135998890452 3:0.4565096788254641 4:0.1293118820708922 5:0.04090467793386301 6:0.07050691244239632 7:1.0 8:0.5663594470046083 9:0.1 10:0.1 11:1.0 12:0.36835891381345925 13:0.38741777702816665 14:0.09698094113678529 15:0.03558778883454208 16:0.9861228359504983 17:0.9910079674529695 18:1474.46758465576 19:1049.512436579131 20:2154.049524897018
1 1:1.0 2:0.2648894530836771 3:0.2462181318100074 4:0.06791494763567121 5:0.03295250185126415 6:1.0 7:0.38401142041399 8:0.22698072805139186 9:0.1 10:0.1 11:1.0 12:0.1602380193390713 13:0.08957602805227925 14:0.01827648496440336 15:0.0031877590054191903 16:0.940698419398909 17:0.9778091084502644 18:4893.779240902868 19:-4358.5773344301415 20:-605.1601298556698
1 1:0.5440815064368602 2:0.17547971290464331 3:0.17834415637257295 4:0.036782058167732695 5:0.014680272773139333 6:0.053548062405636636 7:1.0 8:0.4111726220432813 9:0.10173628585807751 10:0.00291897332662305 11:1.0 12:0.28730375426621163 13:0.30361774744027303 14:0.05556313993174061 15:0.01098976109215017 16:0.504687992925812 17:0.70108745801661 18:-11309.260146507346 19:-8157.784959745576 20:2665.898932732899
1 1:0.6976818602005262 2:0.23771599232027305 3:0.25207992604707385 4:0.07494844627746569 5:0.04234516106094006 6:0.1 7:0.09826589595375723 8:1.0 9:0.1 10:0.1 11:1.0 12:0.3500810372771475 13:0.2560777957860616 14:0.022690437601296597 15:0.0032414910858995136 16:0.9925630055790979 17:0.9944931530476955 18:159.976769381543 19:168.68445138220264 20:267.0302524617678
1 1:0.6533758639021797 2:0.2437533227006911 3:0.1964380648591175 4:0.05563150299992405 5:0.061973114604693555 6:0.171021377672209 7:1.0 8:0.5914489311163895 9:0.1 10:0.1 11:0.84 12:0.2525 13:0.1425 14:0.01 15:0.1 16:0.9940722526205036 17:0.9955877428795458 18:370.28596298173403 19:-449.4972935403895 20:-305.86999044936994
1 1:0.9940884568709674 2:0.2348276400687277 3:0.2678337558724933 4:0.09713194035589412 5:0.02690232736972377 6:0.030921459492888066 7:0.05187074829931973 8:0.12074829931972789 9:0.008000927643784787 10:0.0003478664192949907 11:1.0 12:0.24930281199163373 13:0.2623896118986753 14:0.09942191494306298 15:0.028192540088310482 16:0.8158785892152849 17:0.8771593465336182 18:1592.3021174137377 19:-520.2278052264114 20:-1420.196069184265
1 1:1.0 2:0.2334737039116601 3:0.2635036496350365 4:0.07042859816582445 5:0.028139621935242373 6:1.0 7:0.494627988181574 8:0.34501745903840986 9:0.1 10:0.1 11:1.0 12:0.24438687392055267 13:0.28028620774734764 14:0.029607698001480384 15:0.008758943992104614 16:0.9735049823191901 17:0.9880598988557134 18:3663.0674932353213 19:767.1806372178964 20:1689.5563494687851
