Kernel	Cost	Gamma	Mean_Acc_Train	Std_Acc_Train	Mean_Acc_Test	Std_Acc_Test
Sigmoid	0.100000	0.010000	56.03	1.51	56.06	10.07
Sigmoid	0.100000	0.100000	44.48	0.86	44.24	8.04
Sigmoid	0.100000	1.000000	44.98	0.89	44.85	7.02
Sigmoid	0.100000	10.000000	44.98	1.10	44.55	7.30
Sigmoid	0.100000	100.000000	44.71	0.93	44.55	7.30
Sigmoid	0.100000	1000.000000	44.71	0.93	44.55	7.30
Sigmoid	1.000000	0.001000	55.56	1.81	56.06	13.30
Sigmoid	1.000000	0.010000	57.44	3.97	60.91	11.54
Sigmoid	1.000000	0.100000	43.43	0.98	45.15	9.24
Sigmoid	1.000000	1.000000	45.05	1.18	46.36	10.41
Sigmoid	1.000000	10.000000	45.35	1.35	47.27	10.16
Sigmoid	1.000000	100.000000	45.35	1.35	47.27	10.16
Sigmoid	1.000000	1000.000000	45.35	1.35	47.27	10.16
Sigmoid	10.000000	0.001000	55.56	1.76	55.76	13.43
Sigmoid	10.000000	0.010000	59.49	4.02	61.21	10.82
Sigmoid	10.000000	0.100000	44.24	1.10	45.15	9.91
Sigmoid	10.000000	1.000000	45.22	1.13	44.55	9.30
Sigmoid	10.000000	10.000000	45.45	1.39	46.97	10.43
Sigmoid	10.000000	100.000000	45.45	1.39	46.97	10.43
Sigmoid	10.000000	1000.000000	45.45	1.39	46.97	10.43
Sigmoid	100.000000	0.001000	55.79	1.68	56.06	13.09
Sigmoid	100.000000	0.010000	56.90	6.28	58.18	11.16
Sigmoid	100.000000	0.100000	44.07	1.11	44.85	10.21
Sigmoid	100.000000	1.000000	45.19	1.17	44.85	9.47
Sigmoid	100.000000	10.000000	45.45	1.39	46.97	10.43
Sigmoid	100.000000	100.000000	45.45	1.39	46.97	10.43
Sigmoid	100.000000	1000.000000	45.45	1.39	46.97	10.43
Sigmoid	1000.000000	0.001000	53.80	2.28	54.55	11.42
Sigmoid	1000.000000	0.010000	56.46	6.15	57.58	10.67
Sigmoid	1000.000000	0.100000	44.07	1.11	44.85	10.21
Sigmoid	1000.000000	1.000000	45.15	1.08	44.85	9.47
Sigmoid	1000.000000	10.000000	45.45	1.39	46.97	10.43
Sigmoid	1000.000000	100.000000	45.45	1.39	46.97	10.43
Sigmoid	1000.000000	1000.000000	45.45	1.39	46.97	10.43
